Visitor,Vis.score,Home,Home.score
KCA,8,SDN,3
MIN,8,SFN,13
PHI,5,SLN,6
TEX,5,WAS,1
DET,8,BOS,3
CHA,2,CLE,4
ANA,12,HOU,6
BAL,3,NYA,14
TOR,4,SEA,0
OAK,4,TBA,5
CHN,1,NYN,6
COL,2,PIT,7
CIN,3,SDN,9
ATL,11,WAS,10
NYA,5,ANA,3
PHI,5,BOS,6
BAL,7,CHA,10
TEX,6,HOU,1
SEA,14,MIN,3
OAK,1,MIA,8
CHN,14,NYN,3
COL,2,PIT,5
CIN,2,SDN,6
KCA,8,SFN,1
MIL,0,SLN,6
MIL,8,SLN,5
ATL,5,WAS,10
NYA,2,ANA,3
PHI,3,BOS,4
BAL,1,CHA,6
LAN,7,CLE,5
ARI,7,DET,6
TEX,4,HOU,2
SEA,7,MIN,20
TBA,8,TOR,1
OAK,6,MIA,11
CHN,4,NYN,9
BOS,7,PHI,3
COL,5,PIT,1
CIN,2,SDN,4
KCA,7,SFN,2
MIL,7,SLN,6
ATL,13,WAS,2
NYA,5,ANA,7
BAL,10,CHA,6
LAN,6,CLE,4
ARI,2,DET,1
TEX,2,HOU,13
SEA,6,MIN,4
TBA,6,TOR,7
SFN,9,COL,10
WAS,8,NYN,3
BOS,0,PHI,1
MIL,6,SLN,4
KCA,7,ANA,2
BAL,2,CHA,5
LAN,5,CLE,12
TBA,3,DET,5
SEA,2,MIN,6
NYA,7,OAK,8
MIA,5,ATL,0
LAN,3,CIN,1
SFN,8,COL,10
SDN,5,MIL,6
WAS,7,NYN,2
ARI,5,PHI,4
CHN,9,PIT,5
KCA,3,ANA,1
SLN,11,BAL,2
TBA,4,DET,13
BOS,2,HOU,1
CLE,8,MIN,1
NYA,6,OAK,7
SEA,4,TEX,10
CHA,11,TOR,4
MIA,7,ATL,8
LAN,10,CIN,2
SFN,1,COL,5
SDN,7,MIL,5
WAS,7,NYN,4
ARI,5,PHI,1
CHN,3,PIT,4
KCA,0,ANA,9
SLN,7,BAL,15
TBA,3,DET,2
BOS,1,HOU,7
CLE,9,MIN,3
CLE,6,MIN,2
NYA,2,OAK,5
SEA,4,TEX,10
CHA,5,TOR,2
MIA,4,ATL,5
LAN,8,CIN,7
SFN,5,COL,7
SDN,1,MIL,2
WAS,1,NYN,5
ARI,5,PHI,4
CHN,7,PIT,1
KCA,7,ANA,3
SLN,5,BAL,8
TBA,9,DET,1
BOS,6,HOU,5
CLE,5,MIN,2
NYA,3,OAK,4
SEA,7,TEX,3
CHA,3,TOR,7
SFN,0,ATL,9
SDN,2,CHN,3
NYN,6,LAN,10
WAS,7,MIA,8
PIT,8,MIL,1
CLE,12,BAL,0
BOS,2,KCA,4
HOU,4,OAK,1
DET,2,SEA,6
CIN,7,TBA,3
TOR,7,TEX,6
SFN,6,ATL,3
SDN,0,CHN,4
ARI,3,COL,4
NYN,0,LAN,12
WAS,12,MIA,3
PIT,7,MIL,3
SLN,8,PHI,1
CLE,5,BAL,6
BOS,8,KCA,3
CHA,7,MIN,9
ANA,8,NYA,3
HOU,8,OAK,4
DET,4,SEA,5
CIN,5,TBA,6
TOR,1,TEX,6
SFN,3,ATL,5
SDN,3,CHN,2
ARI,16,COL,5
NYN,2,LAN,8
WAS,1,MIA,2
PIT,3,MIL,4
SLN,7,PHI,6
CLE,5,BAL,1
BOS,4,KCA,6
CHA,2,MIN,4
ANA,4,NYA,8
HOU,5,OAK,1
DET,5,SEA,7
CIN,3,TBA,8
TOR,7,TEX,5
SFN,11,ATL,12
ARI,10,COL,3
NYN,3,LAN,6
CHN,11,MIA,1
PIT,2,MIL,4
SLN,1,PHI,5
CLE,6,BAL,3
CHA,9,MIN,0
ANA,10,NYA,5
HOU,12,OAK,9
DET,6,SEA,9
TOR,4,TEX,11
PHI,6,ARI,1
MIL,4,ATL,5
COL,1,LAN,6
CHN,0,MIA,2
DET,0,SDN,1
NYN,11,SFN,4
PIT,4,SLN,3
CIN,5,WAS,6
ANA,4,BOS,9
OAK,3,CHA,0
MIN,5,CLE,0
TOR,4,KCA,5
TEX,1,NYA,2
HOU,3,SEA,13
BAL,5,TBA,15
PHI,2,ARI,9
MIL,1,ATL,3
COL,0,LAN,4
CHN,5,MIA,3
DET,3,SDN,7
NYN,5,SFN,2
PIT,7,SLN,3
CIN,3,WAS,18
ANA,6,BOS,3
OAK,10,CHA,2
MIN,4,CLE,2
TOR,2,KCA,3
TEX,8,NYA,1
HOU,5,SEA,2
BAL,8,TBA,3
PHI,1,ARI,2
MIL,7,ATL,0
COL,6,LAN,12
CHN,2,MIA,4
DET,7,SDN,5
NYN,8,SFN,2
PIT,4,SLN,8
CIN,6,WAS,2
ANA,4,BOS,2
OAK,5,CHA,3
MIN,4,CLE,0
TOR,8,KCA,2
TEX,7,NYA,6
HOU,8,SEA,2
BAL,8,TBA,5
PHI,1,ARI,6
ANA,4,LAN,0
COL,2,SFN,9
CIN,2,SLN,8
CHN,5,WAS,4
MIN,1,BOS,4
NYA,6,CHA,5
TEX,9,CLE,15
SLN,5,ARI,6
MIL,6,CIN,8
ANA,0,LAN,4
NYN,3,MIA,6
TBA,4,PIT,2
ATL,3,SDN,0
COL,3,SFN,4
CHN,1,WAS,6
MIN,2,BOS,9
NYA,3,CHA,4
TEX,2,CLE,1
KCA,3,DET,5
OAK,6,HOU,4
PHI,8,SEA,2
BAL,3,TOR,1
SLN,4,ARI,3
MIL,3,CIN,4
NYN,8,MIA,0
TBA,2,PIT,6
ATL,4,SDN,7
COL,3,SFN,5
CHN,4,WAS,8
LAN,2,ANA,3
MIN,4,BOS,1
NYA,12,CHA,3
TEX,3,CLE,5
KCA,8,DET,2
OAK,8,HOU,11
PHI,5,SEA,4
BAL,0,TOR,4
SLN,10,ARI,4
MIL,11,CIN,3
